Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m
-2.913836394,-1.6952125174,0.9032784674,77,0,75,3.49
-2.6099774259,-1.5184333656,-0.0527062674,84,1,91,3.02
-2.6529584298,-1.5434388656,0.7085958212,59,2,77,3.15
-2.5981657904,-1.5115615891,-0.1575312283,61,3,93,3.01
-2.6133239661,-1.5203803166,0.5876917058,67,4,79,3.08
-2.5659987968,-1.492847467,-0.2597241134,60,5,95,2.98
-2.620922993,-1.5248012805,0.4802538077,86,6,81,3.07
-2.7367640175,-1.5921953028,-0.3887632055,80,7,97,3.19
-2.6166552519,-1.522318393,0.3717014974,90,8,83,3.05
-2.8002043703,-1.6291036483,-0.5131050453,77,9,99,3.28
-2.6090524679,-1.5178952433,0.2640819005,82,10,85,3.03
-2.7999899637,-1.6289789107,-0.6296696847,78,11,101,3.3
-2.5636386703,-1.4914743919,0.15543779,56,12,87,2.97
-3.3941023721,-1.9746217867,-0.906552749,69,13,103,4.03
-2.6099774259,-1.5184333656,0.0527062674,85,14,89,3.02
-3.3980842761,-1.9769383799,-1.0533935136,65,15,105,4.07
-2.6251471412,-1.5383175946,0.8152799921,66,16,75,3.15
-3.1659148727,-1.8552036475,-0.0640503316,70,17,91,3.67
-2.6396898343,-1.5468395095,0.7063463106,71,18,77,3.14
-3.4119205626,-1.999361236,-0.2072503867,113,19,93,3.96
-2.6339424672,-1.5434715932,0.5934159756,106,20,79,3.11
-2.5612962232,-1.5009014098,-0.2597241134,60,21,95,2.98
-2.6075981999,-1.5280340395,0.478689463,77,22,81,3.06
-2.7403119662,-1.6058033648,-0.3899818989,75,23,97,3.2
-2.6032963679,-1.5255131965,0.370482804,66,24,83,3.04
-2.803594143,-1.6428862713,-0.51466939,75,25,99,3.29
-2.604270992,-1.5260843194,0.2640819005,68,26,85,3.03
-2.7863892981,-1.6328043543,-0.6277615948,76,27,101,3.29
-2.5503244609,-1.494472035,0.1549144305,56,28,87,2.96
-3.3710688648,-1.975422431,-0.9020537279,69,29,103,4.01
-2.6742060233,-1.5670657513,0.05410246,61,30,89,3.1
-3.366855381,-1.9729533594,-1.0456289422,65,31,105,4.04
-2.6203014273,-1.5465571327,0.8152799921,81,0,75,3.15
-2.5917748241,-1.5297201302,-0.0525317434,111,1,91,3.01
-2.6348172763,-1.5551246927,0.7063463106,68,2,77,3.14
-3.3970225002,-2.0049942816,-0.2067270272,117,3,93,3.95
-2.6037196129,-1.5367701963,0.5876917058,66,4,79,3.08
-2.6337801671,-1.554512569,-0.2675681302,70,5,95,3.07
-2.645314044,-1.5613201063,0.4865111863,64,6,81,3.11
-2.7438013393,-1.6194493839,-0.3912005923,77,7,97,3.21
-2.8121826811,-1.6598094931,0.4009501398,91,8,83,3.29
-2.7984190369,-1.6516859002,-0.51466939,80,9,99,3.29
-2.6080429016,-1.5393218925,0.264953458,67,10,85,3.04
-2.8066068555,-1.6565185233,-0.6334858647,75,11,101,3.32
-2.51981669,-1.4872489228,0.1533443518,54,12,87,2.93
-3.3396728534,-1.9711453112,-0.8953051963,71,13,103,3.98
-2.5831642766,-1.5246380036,0.0523572193,116,14,89,3
-3.335685309,-1.9687917785,-1.0378643709,64,15,105,4.01
-2.6154298521,-1.5547814069,0.8152799921,64,16,75,3.15
-2.5697672063,-1.527636564,-0.0521826952,114,17,91,2.99
-2.6634208629,-1.5833103814,0.7153443528,58,18,77,3.18
-3.3735387356,-2.0054505754,-0.205680308,116,19,93,3.93
-2.5988788661,-1.5449424256,0.5876917058,69,20,79,3.08
-2.6888255025,-1.5984125494,-0.2736690322,116,21,95,3.14
-2.8017063307,-1.6655162466,0.5162337346,111,22,81,3.3
-2.7301683811,-1.6229894422,-0.3899818989,81,23,97,3.2
-2.8325496954,-1.6838515463,0.4046062201,94,24,83,3.32
-2.7932163115,-1.6604692277,-0.51466939,75,25,99,3.29
-2.5689415629,-1.5271457478,0.2614672282,65,26,85,3
-2.8435784995,-1.6904077839,-0.6430263144,66,27,101,3.37
-2.5065478646,-1.4900548804,0.1528209922,53,28,87,2.92
-3.3167127727,-1.9716695315,-0.8908061752,69,29,103,3.96
-2.5783617455,-1.5327457164,0.0523572193,125,30,89,3
-3.3128778126,-1.9693897821,-1.03268799,65,31,105,3.99
-2.6519694869,-1.5877997065,0.8282209443,61,0,75,3.2
-2.5563768752,-1.5305660462,-0.0520081712,116,1,91,2.98
