Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,azimuth,distance_m
0.7057314828,-1.9017174053,0.5435199947,77,75,2.1
0.6887719607,-1.8560169949,-0.0345557647,121,91,1.98
0.7085110663,-1.9092074811,0.4701477036,76,77,2.09
0.7157280627,-1.9286549452,-0.1078120699,218,93,2.06
0.6967117948,-1.8774122721,0.3892503506,79,79,2.04
0.6897214323,-1.8585755129,-0.1734399281,79,95,1.99
0.6975773711,-1.8797447194,0.317561964,79,81,2.03
0.7079147966,-1.9076007275,-0.249832154,188,97,2.05
0.690648582,-1.8610738805,0.2437386868,77,83,2
0.7010137129,-1.8890045457,-0.3191263087,181,99,2.04
0.6931873692,-1.8679150883,0.1743114855,138,85,2
0.7069575565,-1.9050212761,-0.3949746204,172,101,2.07
0.823434713,-2.2188894273,0.1240362163,235,87,2.37
0.698341051,-1.881802589,-0.4633991719,142,103,2.06
0.848789689,-2.2872128624,0.0425838717,250,89,2.44
0.6956496045,-1.8745500138,-0.5357554234,140,105,2.07
0.7117024118,-1.8994909035,0.5435199947,78,75,2.1
0.6945994015,-1.8538439984,-0.0345557647,96,91,1.98
0.7145055123,-1.90697221,0.4701477036,74,77,2.09
0.7322949802,-1.9544512293,-0.1093821485,225,93,2.09
0.7060505607,-1.884406453,0.3911584405,77,79,2.05
0.6955569063,-1.856399521,-0.1734399281,79,95,1.99
0.7034793112,-1.8775439429,0.317561964,76,81,2.03
0.7173866572,-1.9146618124,-0.2510508474,190,97,2.06
0.7034568192,-1.8774839132,0.2461760737,78,83,2.02
0.7069447265,-1.8867929279,-0.3191263087,182,99,2.04
0.7025474279,-1.8750568026,0.1751830429,148,85,2.01
0.7129388588,-1.9027909062,-0.3949746204,174,101,2.07
0.8304014847,-2.2162915853,0.1240362163,235,87,2.37
0.7042494523,-1.8795994032,-0.4633991719,141,103,2.06
0.9226244576,-2.4624291494,0.0458998289,250,89,2.63
0.6981461754,-1.8633101244,-0.5331672329,136,105,2.06
0.7176663165,-1.8972456545,0.5435199947,78,75,2.1
0.7039574616,-1.8610044866,-0.0347302888,121,91,1.99
0.7204929064,-1.9047181179,0.4701477036,77,77,2.09
0.7419646108,-1.9614814033,-0.1099055081,228,93,2.1
0.7154401145,-1.8913603954,0.3930665305,77,79,2.06
0.7049100657,-1.8635228213,-0.1743114855,79,95,2
0.712868763,-1.8845626882,0.3191263087,76,81,2.04
0.7233981947,-1.912398631,-0.2510508474,190,97,2.06
0.7023283443,-1.8566977,0.2437386868,77,83,2
0.712868763,-1.8845626882,-0.3191263087,183,99,2.04
0.9093339847,-2.4039444394,0.2248618163,250,85,2.58
0.722386135,-1.9097231177,-0.3968827104,175,101,2.08
0.8620922145,-2.2790545829,0.1276997332,245,87,2.44
0.7101509029,-1.8773776665,-0.4633991719,133,103,2.06
0.9268183665,-2.4501667111,0.0457253049,250,89,2.62
0.7074139406,-1.8701421451,-0.5357554234,137,105,2.07
0.7232923905,-1.8951079476,0.5435199947,77,75,2.1
0.7237368918,-1.8962725914,-0.0354283851,184,91,2.03
0.7261411391,-1.9025719915,0.4701477036,76,77,2.09
0.7477811688,-1.9592713193,-0.1099055081,228,93,2.1
0.7175484997,-1.8800583036,0.3911584405,79,79,2.05
0.7104361383,-1.8614231114,-0.1743114855,81,95,2
0.7219790761,-1.8916669153,0.3206906533,77,81,2.05
0.7290692031,-1.9102438507,-0.2510508474,190,97,2.06
0.7113733487,-1.8638787087,0.2449573802,76,83,2.01
0.718457227,-1.8824392718,-0.3191263087,183,99,2.04
0.8489711852,-2.2244006181,0.2083022252,241,85,2.39
0.7245489729,-1.8984003358,-0.3949746204,175,101,2.07
0.7513420316,-1.9686011828,0.1104288677,224,87,2.11
0.7157180605,-1.8752623457,-0.4633991719,121,103,2.06
0.9626057182,-2.522135959,0.0471214974,250,89,2.7
0.712959642,-1.868034977,-0.5357554234,136,105,2.07
0.7292424686,-1.8928263093,0.5435199947,78,75,2.1
0.9058228468,-2.3511594425,-0.0439800642,250,91,2.52
0.735617593,-1.9093736221,0.4723972141,76,77,2.1
0.7575228567,-1.9662310614,-0.1104288677,228,93,2.11
0.7234513264,-1.8777947845,0.3911584405,78,79,2.05
0.7126990537,-1.8498861182,-0.1734399281,81,95,1.99
0.7279183504,-1.8893894199,0.3206906533,78,81,2.05
0.7279302326,-1.8894202613,-0.2486134605,192,97,2.04
0.7172253762,-1.8616346692,0.2449573802,76,83,2.01
0.7243675292,-1.8801728861,-0.3191263087,183,99,2.04
0.7234432605,-1.8777738486,0.1760546004,191,85,2.02
0.7305093881,-1.8961147336,-0.3949746204,175,101,2.07
0.8508669054,-2.2085154576,0.1240362163,234,87,2.37
0.7181028884,-1.8639123454,-0.4611496614,119,103,2.05
0.9345791276,-2.4257994248,0.0453762567,250,89,2.6
0.7153521359,-1.8567724749,-0.5331672329,136,105,2.06
0.738686232,-1.8995284943,0.5461081852,79,75,2.11
0.905957093,-2.3296647999,-0.0436310161,250,91,2.5
0.7380809394,-1.8979719871,0.4701477036,77,77,2.09
0.7636962053,-1.9638415341,-0.1104288677,227,93,2.11
0.7293470129,-1.8755127323,0.3911584405,78,79,2.05
0.7221177042,-1.8569225959,-0.1743114855,82,95,2
0.7338504404,-1.887093277,0.3206906533,77,81,2.05
0.7446545138,-1.9148759056,-0.2522695408,190,97,2.07
0.7266676898,-1.8686228644,0.2461760737,78,83,2.02
0.7302706822,-1.8778879439,-0.3191263087,184,99,2.04
0.9784694893,-2.5161301175,0.2361920628,250,85,2.71
0.7400203838,-1.9029592601,-0.3968827104,175,101,2.08
0.857800951,-2.2058314862,0.1240362163,234,87,2.37
0.7274864762,-1.87072837,-0.4633991719,100,103,2.06
0.9603145186,-2.4694446879,0.0462488771,250,89,2.65
0.7246827015,-1.8635184755,-0.5357554234,135,105,2.07
0.7446501217,-1.8971984731,0.5461081852,78,75,2.11
0.9351899833,-2.3826505319,-0.0446781605,250,91,2.56
0.7440399422,-1.8956438751,0.4701477036,76,77,2.09
0.7735106518,-1.9707285137,-0.1109522272,229,93,2.12
0.7424085304,-1.8914874103,0.3949746204,77,79,2.07
0.7279478255,-1.8546448364,-0.1743114855,82,95,2
0.7361666277,-1.8755844677,0.3191263087,77,81,2.04
0.7506665893,-1.9125270588,-0.2522695408,190,97,2.07
0.7325345461,-1.866330753,0.2461760737,77,83,2.02
0.7361666277,-1.8755844677,-0.3191263087,164,99,2.04
0.9936487819,-2.5315902017,0.2379351777,250,85,2.73
0.745995045,-1.9006250306,-0.3968827104,175,101,2.08
0.8647265305,-2.2031257441,0.1240362163,234,87,2.37
0.7369199427,-1.8775037423,-0.4656486825,100,103,2.07
0.9351899833,-2.3826505319,0.0446781605,250,89,2.56
0.7305335317,-1.8612326253,-0.5357554234,136,105,2.07
0.753831747,-1.9039616552,0.5486963756,78,75,2.12
0.9606587472,-2.4263470275,-0.0455507808,250,91,2.61
0.7532480429,-1.9024873871,0.4723972141,75,77,2.1
0.7756783071,-1.9591397676,-0.1104288677,228,93,2.11
0.7480174104,-1.8892763173,0.3949746204,79,79,2.07
0.7371146925,-1.8617391954,-0.1751830429,82,95,2.01
0.7490001969,-1.8917585526,0.322254998,78,81,2.06
0.7563378588,-1.910291371,-0.2522695408,190,97,2.07
0.7417226344,-1.8733775281,0.2473947671,79,83,2.03
0.738092427,-1.8642086708,-0.317561964,123,99,2.03
0.9864868273,-2.4915813112,0.234448948,250,85,2.69
0.751631021,-1.898403256,-0.3968827104,175,101,2.08
0.8712595203,-2.2005503551,0.1240362163,234,87,2.37
0.7317266703,-1.8481306046,-0.4589001509,95,103,2.04
0.7324562862,-1.8499734041,0.0347302888,129,89,1.99
0.7360526963,-1.8590568992,-0.5357554234,137,105,2.07
0.7633934961,-1.9105537672,0.5512845661,78,75,2.13
0.9645667161,-2.4140323207,-0.0453762567,250,91,2.6
0.7556058175,-1.8910634535,0.4701477036,70,77,2.09
0.7818292883,-1.9566932384,-0.1104288677,227,93,2.11
0.75030678,-1.8778014907,0.3930665305,78,79,2.06
0.7429598716,-1.8594142978,-0.1751830429,81,95,2.01
0.7549396257,-1.8893961675,0.322254998,76,81,2.06
0.7586526938,-1.8986889061,-0.2510508474,172,97,2.06
0.7439215735,-1.8618211604,0.2461760737,78,83,2.02
0.7439453593,-1.8618806894,-0.317561964,121,99,2.03
0.975827891,-2.4422157941,0.2300911609,250,85,2.64
0.7575913118,-1.8960325732,-0.3968827104,173,101,2.08
0.7781239362,-1.9474198107,0.1099055081,214,87,2.1
0.7411444622,-1.8548708516,-0.4611496614,79,103,2.05
0.730844781,-1.8290937199,0.0343812407,88,89,1.97
0.745473461,-1.8657050872,-0.5383436138,138,105,2.08
0.7693919007,-1.9081460715,0.5512845661,76,75,2.13
0.9721458498,-2.4109901373,-0.0453762567,250,91,2.6
0.7433242973,-1.84349658,0.4589001509,66,77,2.04
0.7879725531,-1.9542273974,-0.1104288677,228,93,2.11
0.7635441255,-1.8936431772,0.3968827104,78,79,2.08
0.7487977179,-1.8570710485,-0.1751830429,83,95,2.01
0.7571780521,-1.8778548672,0.3206906533,77,81,2.05
0.7571904119,-1.8778855203,-0.2486134605,127,97,2.04
0.7534786942,-1.8686801991,0.2473947671,77,83,2.03
0.7460973977,-1.8503740643,-0.3159976194,121,99,2.02
1.0095730425,-2.5038122097,0.2361920628,250,85,2.71
0.7635441255,-1.8936431772,-0.3968827104,173,101,2.08
0.7543623494,-1.8708717264,0.1057186316,130,87,2.02
0.7433242973,-1.84349658,-0.4589001509,73,103,2.04
0.7403264549,-1.8360617199,0.0345557647,95,89,1.98
0.751331058,-1.8633539102,-0.5383436138,140,105,2.08
0.7681021229,-1.887825463,0.5461081852,78,75,2.11
0.9533384362,-2.3430954309,-0.0441545883,250,91,2.53
0.7674727264,-1.8862785454,0.4701477036,72,77,2.09
0.7978715862,-1.9609922323,-0.1109522272,226,93,2.12
0.7657899349,-1.8821426154,0.3949746204,80,79,2.07
0.7546281739,-1.8547094707,-0.1751830429,83,95,2.01
0.766796072,-1.8846154781,0.322254998,77,81,2.06
0.7743080731,-1.9030783186,-0.2522695408,169,97,2.07
0.7593455982,-1.8663038583,0.2473947671,78,83,2.03
0.7556291389,-1.8571696216,-0.317561964,121,99,2.03
0.7884174951,-1.9377561634,0.1830270598,226,85,2.1
0.7731888715,-1.9003275682,-0.3987908003,174,101,2.09
0.7527090436,-1.849992672,0.1046719125,119,87,2
0.7454400166,-1.8321270083,-0.4566506403,88,103,2.03
0.7536272223,-1.8522493525,0.0349048129,99,89,2
0.7571812396,-1.8609843427,-0.5383436138,135,105,2.08
0.7776974857,-1.8943386466,0.5486963756,78,75,2.12
0.9606947709,-2.3400888721,-0.0441545883,250,91,2.53
0.777095302,-1.8928718297,0.4723972141,57,77,2.1
0.8002356913,-1.9492378776,-0.1104288677,227,93,2.11
0.7716990716,-1.8797275313,0.3949746204,79,79,2.07
0.7642345212,-1.8615451577,-0.1760546004,86,95,2.02
0.7727129724,-1.882197221,0.322254998,79,81,2.06
0.780282939,-1.9006363707,-0.2522695408,190,97,2.07
0.7652050079,-1.8639090979,0.2473947671,78,83,2.03
0.7652109047,-1.8639234615,-0.3191263087,122,99,2.04
0.8890847153,-2.1656589706,0.2048159955,232,85,2.35
0.7791551013,-1.89788915,-0.3987908003,173,101,2.09
0.7623098292,-1.8568569356,0.105195272,86,87,2.01
0.7622934867,-1.8568171282,-0.4633991719,90,103,2.06
0.7632397192,-1.8591219893,0.0350793369,122,89,2.01
0.7630239482,-1.858596408,-0.5383436138,136,105,2.08
0.7910377547,-1.9097340758,0.5538727565,91,75,2.14
0.9948253843,-2.4017209351,-0.0453762567,250,91,2.6
0.7904955953,-1.9084251871,0.4768962352,86,77,2.12
0.8101770334,-1.955940382,-0.1109522272,228,93,2.12
0.7813571165,-1.8863629478,0.3968827104,78,79,2.08
0.7700789569,-1.8591350618,-0.1760546004,79,95,2.02
0.7824019661,-1.8888854377,0.3238193426,78,81,2.07
0.7862501039,-1.8981756644,-0.2522695408,190,97,2.07
0.7710568652,-1.8614959414,0.2473947671,81,83,2.03
0.7786222464,-1.8797603873,-0.322254998,164,99,2.06
1.0636239058,-2.5678152586,0.2431645223,250,85,2.79
0.7888701657,-1.904501053,-0.4006988903,172,101,2.1
0.7834259049,-1.8913574448,0.1072887103,101,87,2.05
