,X,Y,Z,ref,phjj,r
0,-0.5768396960556433,-2.005073571468831,0.5590491374214448,55.0,75.0,2.16
1,-0.5666897024257885,-1.9697925668553138,-0.035777433196431126,66.0,91.0,2.05
2,-0.5791885968585883,-2.013238264284168,0.48364476683930957,50.0,77.0,2.15
3,-0.563238306225897,-1.9577956405820516,-0.10676535073560543,57.0,93.0,2.04
4,-0.5753605057722239,-1.9999319604376584,0.40451507019827526,58.0,79.0,2.12
5,-0.5701277519648815,-1.9817431006264346,-0.18041238748765254,59.0,95.0,2.07
6,-0.5734516832858605,-1.993296963667839,0.32851237658448496,62.0,81.0,2.1
7,-0.5680396685915169,-1.9744849996053269,-0.25226954084865505,52.0,97.0,2.07
8,-0.5680396685915169,-1.9744849996053269,0.25226954084865527,67.0,83.0,2.07
9,-0.5625287940804155,-1.9553294024551182,-0.3222549979828755,34.0,99.0,2.06
10,-0.5701277519648815,-1.9817431006264346,0.18041238748765234,66.0,85.0,2.07
11,-0.569932576472486,-1.9810646777920202,-0.4006988902907441,35.0,101.0,2.1
12,-0.5742821945832675,-1.9961837903973858,0.10885878898532346,59.0,87.0,2.08
13,-0.5684129950565681,-1.975782668669579,-0.4746467246655552,0.0,103.0,2.11
14,-0.5666897024257885,-1.9697925668553138,0.035777433196431375,66.0,89.0,2.05
15,-0.5608163711652088,-1.9493770833724742,-0.5435199947152938,0.0,105.0,2.1
16,-0.575820492237304,-2.0254580531801127,0.5642255183234952,55.0,75.0,2.18
17,-0.5659669095681849,-1.9907979140588077,-0.0361264813251768,66.0,91.0,2.07
18,-0.5728609745426063,-2.015047901007578,0.48364476683930957,52.0,77.0,2.15
19,-0.5570849404741866,-1.95955544167017,-0.10676535073560543,58.0,93.0,2.04
20,-0.5663903906172709,-1.992287515614855,0.40260698024450975,62.0,79.0,2.11
21,-0.563899119174353,-1.9835244273351897,-0.18041238748765254,60.0,95.0,2.07
22,-0.5644858473988533,-1.9855882535160276,0.3269480319340826,62.0,81.0,2.09
23,-0.5645480212436536,-1.985806951037817,-0.2534882342827065,52.0,97.0,2.08
24,-0.5618338480645975,-1.9762598022347502,0.25226954084865527,67.0,83.0,2.07
25,-0.5617849581768493,-1.9760878312504007,-0.3253836872836801,36.0,99.0,2.08
26,-0.563899119174353,-1.9835244273351897,0.18041238748765234,67.0,85.0,2.07
