Points:0,Points:1,Points:2,intensity,azimuth,distance_m
0.0028288,2.3154,-1.3732,4,7,2.692
0.0079519,6.5087,-1.0693,1,7,6.596
0.002961,2.4236,-1.3618,3,7,2.78
0.0085947,7.0349,-0.98869,69,7,7.104
0.0031261,2.5588,-1.3605,3,7,2.898
0.0086156,7.0519,-0.82467,46,7,7.1
0.0033102,2.7094,-1.3609,4,7,3.032
0.0086149,7.0514,-0.65786,62,7,7.082
0.0035337,2.8923,-1.3691,3,7,3.2
0.0086142,7.0508,-0.49304,64,7,7.068
0.003759,3.0768,-1.3699,5,7,3.368
0.008599,7.0383,-0.32823,74,7,7.046
0.0040201,3.2905,-1.3744,5,7,3.566
0.0086084,7.0461,-0.16359,101,7,7.048
0.0042995,3.5192,-1.3742,3,7,3.778
0.0086156,7.052,0,49,7,7.052
0.0045968,3.7625,-1.3694,5,7,4.004
0.0086231,7.0581,0.16387,71,7,7.06
0.0049747,4.0718,-1.3759,3,7,4.298
0.0086014,7.0403,0.32832,59,7,7.048
0.0053788,4.4026,-1.3738,4,7,4.612
0.0085995,7.0388,0.4922,41,7,7.056
0.0059002,4.8294,-1.3848,3,7,5.024
0.0086173,7.0534,0.65805,69,7,7.084
0.0064154,5.251,-1.3746,6,7,5.428
0.0086253,7.0599,0.8256,82,7,7.108
0.0070711,5.7877,-1.3714,2,7,5.948
0.0086213,7.0566,0.99175,67,7,7.126
0.0079159,6.4792,-1.3772,7,7,6.624
0.0086222,7.0574,1.1595,80,7,7.152
0.0086059,7.0441,-1.3272,74,7,7.168
0.0085987,7.0382,1.3261,61,7,7.162
0.0092464,2.3034,-1.366,5,23,2.678
0.026112,6.5047,-1.0687,1,23,6.592
0.0097641,2.4323,-1.3667,3,23,2.79
0.02824,7.0348,-0.98869,80,23,7.104
0.010286,2.5623,-1.3624,3,23,2.902
0.028284,7.0459,-0.82397,51,23,7.094
0.010883,2.7112,-1.3618,4,23,3.034
0.028266,7.0414,-0.65693,62,23,7.072
0.011582,2.8851,-1.3656,3,23,3.192
0.028264,7.0408,-0.49234,64,23,7.058
0.012344,3.075,-1.3691,5,23,3.366
0.028181,7.0203,-0.32739,78,23,7.028
0.013231,3.296,-1.3767,7,23,3.572
0.028237,7.034,-0.16331,102,23,7.036
0.014127,3.5192,-1.3742,3,23,3.778
0.028244,7.0359,0,56,23,7.036
0.015119,3.7663,-1.3708,6,23,4.008
0.028309,7.052,0.16373,75,23,7.054
0.016353,4.0737,-1.3765,3,23,4.3
0.028222,7.0303,0.32785,69,23,7.038
0.017681,4.4045,-1.3744,5,23,4.614
0.028223,7.0308,0.49164,44,23,7.048
0.019325,4.814,-1.3804,3,23,5.008
0.028274,7.0434,0.65712,69,23,7.074
0.021087,5.2529,-1.3752,6,23,5.43
0.0283,7.0499,0.82444,82,23,7.098
0.023233,5.7877,-1.3714,2,23,5.948
0.028287,7.0467,0.99036,74,23,7.116
0.025962,6.4675,-1.3747,6,23,6.612
0.028267,7.0415,1.1569,80,23,7.136
0.028213,7.0283,-1.3242,70,23,7.152
0.028213,7.0283,1.3242,61,23,7.152
0.016458,2.2999,-1.364,5,41,2.674
0.046505,6.4987,-1.0677,1,41,6.586
0.017368,2.4271,-1.3637,3,41,2.784
0.050283,7.0268,-0.98757,77,41,7.096
0.018323,2.5605,-1.3615,3,41,2.9
0.050349,7.0359,-0.82281,44,41,7.084
0.019375,2.7076,-1.36,4,41,3.03
0.050358,7.0373,-0.65656,56,41,7.068
0.020645,2.885,-1.3656,3,41,3.192
0.050311,7.0307,-0.49164,48,41,7.048
0.022082,3.0859,-1.374,5,41,3.378
0.050236,7.0202,-0.32739,56,41,7.028
0.023546,3.2904,-1.3744,7,41,3.566
0.050306,7.0299,-0.16322,81,41,7.032
0.025183,3.5191,-1.3742,3,41,3.778
0.050348,7.0358,0,41,41,7.036
0.026978,3.77,-1.3722,6,41,4.012
0.050363,7.0379,0.1634,64,41,7.04
0.029137,4.0717,-1.3759,3,41,4.298
0.050236,7.0202,0.32739,50,41,7.028
0.031491,4.4006,-1.3732,5,41,4.61
0.050254,7.0227,0.49109,30,41,7.04
0.034517,4.8235,-1.3831,3,41,5.018
0.050316,7.0313,0.656,60,41,7.062
0.037562,5.249,-1.3741,6,41,5.426
0.050377,7.0398,0.82328,77,41,7.088
0.041527,5.8032,-1.3751,2,41,5.964
0.050411,7.0446,0.99008,63,41,7.114
0.046322,6.4732,-1.376,6,41,6.618
0.050303,7.0296,1.1549,76,41,7.124
0.050265,7.0242,-1.3235,74,41,7.148
0.050251,7.0223,1.3231,58,41,7.146
0.022496,2.3016,-1.365,3,56,2.676
0.063364,6.4828,-1.0651,1,56,6.57
0.023688,2.4235,-1.3618,3,56,2.78
0.068602,7.0187,-0.98646,80,56,7.088
0.02494,2.5516,-1.3568,3,56,2.89
0.068749,7.0337,-0.82258,49,56,7.082
0.026498,2.7111,-1.3618,5,56,3.034
0.068645,7.0232,-0.65526,62,56,7.054
0.028198,2.885,-1.3656,3,56,3.192
0.068639,7.0225,-0.49109,60,56,7.04
0.030161,3.0858,-1.374,5,56,3.378
0.068459,7.0041,-0.32664,78,56,7.012
0.032124,3.2866,-1.3729,5,56,3.562
0.068573,7.0158,-0.16289,101,56,7.018
0.034396,3.519,-1.3742,3,56,3.778
0.068611,7.0197,0,56,56,7.02
0.036737,3.7586,-1.3681,5,56,4
0.068769,7.0358,0.16336,75,56,7.038
0.039797,4.0716,-1.3759,3,56,4.298
0.068576,7.016,0.3272,69,56,7.024
0.043067,4.4062,-1.375,5,56,4.616
0.068542,7.0125,0.49039,45,56,7.03
0.047163,4.8253,-1.3837,3,56,5.02
0.068645,7.0232,0.65526,70,56,7.054
0.051322,5.2508,-1.3746,6,56,5.428
0.068768,7.0357,0.82281,83,56,7.084
0.056853,5.8167,-1.3783,3,56,5.978
0.068718,7.0306,0.98813,74,56,7.1
0.063211,6.4672,-1.3747,5,56,6.612
0.06861,7.0196,1.1533,80,56,7.114
0.068635,7.0221,-1.3231,74,56,7.146
0.068578,7.0162,1.322,61,56,7.14
0.029281,2.2981,-1.363,3,73,2.672
0.082422,6.4687,-1.0629,1,73,6.556
0.030767,2.4147,-1.3569,3,73,2.77
0.089325,7.0105,-0.98535,77,73,7.08
0.032533,2.5533,-1.3577,3,73,2.892
0.08939,7.0156,-0.82049,46,73,7.064
0.034588,2.7146,-1.3636,7,73,3.038
0.089433,7.0189,-0.65489,56,73,7.05
0.036758,2.8849,-1.3656,3,73,3.192
0.089373,7.0143,-0.49053,49,73,7.032
0.039224,3.0784,-1.3707,5,73,3.37
0.089163,6.9978,-0.32636,78,73,7.006
0.041829,3.2828,-1.3713,3,73,3.558
0.089364,7.0135,-0.16285,101,73,7.016
0.044813,3.5171,-1.3735,4,73,3.776
0.089311,7.0094,0,52,73,7.01
0.047817,3.7528,-1.366,4,73,3.994
0.089466,7.0215,0.16303,68,73,7.024
0.051877,4.0715,-1.3759,3,73,4.298
0.089265,7.0058,0.32674,62,73,7.014
0.056116,4.4042,-1.3744,5,73,4.614
0.089297,7.0083,0.49011,44,73,7.026
0.061456,4.8232,-1.3831,4,73,5.018
0.089356,7.013,0.65433,66,73,7.044
0.066951,5.2545,-1.3757,6,73,5.432
0.089593,7.0315,0.82235,82,73,7.08
0.073888,5.799,-1.3741,2,73,5.96
0.089451,7.0204,0.98674,70,73,7.09
0.082425,6.4689,-1.3751,4,73,6.614
0.089387,7.0154,1.1527,80,73,7.11
0.08937,7.014,-1.3216,74,73,7.138
0.089245,7.0042,1.3198,61,73,7.128
0.03618,2.3031,-1.366,3,90,2.678
0.10158,6.4665,-1.0625,2,90,6.554
0.038069,2.4233,-1.3618,3,90,2.78
0.10988,6.9944,-0.98312,81,90,7.064
0.040414,2.5726,-1.368,3,90,2.914
0.11014,7.0114,-0.82002,51,90,7.06
0.042558,2.7091,-1.3609,6,90,3.032
0.11004,7.0047,-0.65359,62,90,7.036
0.045317,2.8848,-1.3656,3,90,3.192
0.11003,7.004,-0.48983,60,90,7.022
0.048415,3.0819,-1.3723,5,90,3.374
0.1098,6.9895,-0.32599,78,90,6.998
0.051627,3.2864,-1.3729,3,90,3.562
0.11002,7.0032,-0.16261,102,90,7.006
0.055365,3.5244,-1.3764,7,90,3.784
0.11001,7.0031,0,56,90,7.004
0.05907,3.7602,-1.3688,5,90,4.002
0.11014,7.0112,0.1628,75,90,7.014
0.064017,4.0751,-1.3771,3,90,4.302
0.10989,6.9955,0.32627,65,90,7.004
0.069184,4.404,-1.3744,4,90,4.614
0.10997,7,0.48955,45,90,7.018
0.075706,4.8192,-1.382,3,90,5.014
0.11007,7.0067,0.65377,69,90,7.038
0.08248,5.2504,-1.3746,6,90,5.428
0.11024,7.0173,0.82072,82,90,7.066
0.091124,5.8007,-1.3746,2,90,5.962
0.11019,7.0142,0.9859,78,90,7.084
0.10168,6.4726,-1.376,4,90,6.618
0.11008,7.0072,1.1514,80,90,7.102
0.11,7.0019,-1.3194,74,90,7.126
0.10978,6.9882,1.3168,63,90,7.112
0.04258,2.3013,-1.365,3,106,2.676
0.11942,6.4544,-1.0606,1,106,6.542
0.044804,2.4215,-1.3608,3,106,2.778
0.12933,6.9901,-0.98256,80,106,7.06
0.047042,2.5425,-1.3521,3,106,2.88
0.12961,7.0051,-0.81933,49,106,7.054
0.050057,2.7054,-1.3591,5,106,3.028
0.12945,6.9964,-0.65284,59,106,7.028
0.053039,2.8665,-1.3571,2,106,3.172
0.12944,6.9957,-0.48927,52,106,7.014
0.056987,3.0799,-1.3715,5,106,3.372
0.12917,6.9812,-0.32562,78,106,6.99
0.060736,3.2825,-1.3713,3,106,3.558
0.12939,6.9929,-0.16238,101,106,6.996
0.065241,3.5261,-1.3771,3,106,3.786
0.12935,6.9908,0,52,106,6.992
0.06957,3.76,-1.3688,5,106,4.002
0.12954,7.0009,0.16257,71,106,7.004
0.075467,4.0787,-1.3784,4,106,4.306
0.12936,6.9912,0.32608,65,106,7
0.081482,4.4038,-1.3744,4,106,4.614
0.12937,6.9917,0.48899,41,106,7.01
0.089163,4.8189,-1.382,3,106,5.014
0.12949,6.9984,0.65303,69,106,7.03
0.09707,5.2463,-1.3736,6,106,5.424
0.12969,7.009,0.81979,82,106,7.058
0.10736,5.8023,-1.3751,2,106,5.964
0.12963,7.0059,0.98479,70,106,7.076
0.11965,6.4664,-1.3747,4,106,6.612
0.12954,7.0009,1.1504,80,106,7.096
0.12933,6.9898,-1.3172,74,106,7.114
0.12926,6.9859,1.3164,61,106,7.11
0.049995,2.3097,-1.3701,3,124,2.686
0.13983,6.4599,-1.0616,2,124,6.548
0.052373,2.4196,-1.3598,3,124,2.776
0.15104,6.9778,-0.98089,80,124,7.048
0.055067,2.5441,-1.353,3,124,2.882
0.15145,6.9967,-0.8184,49,124,7.046
0.058671,2.7106,-1.3618,4,124,3.034
0.15126,6.988,-0.6521,62,124,7.02
0.062592,2.8917,-1.3691,3,124,3.2
0.15116,6.9833,-0.48843,56,124,7.002
0.066663,3.0798,-1.3715,5,124,3.372
0.15084,6.9688,-0.32506,82,124,6.978
0.070968,3.2787,-1.3698,3,124,3.554
0.15114,6.9825,-0.16215,101,124,6.986
0.076278,3.524,-1.3764,3,124,3.784
0.15109,6.9804,0,49,124,6.982
0.081463,3.7635,-1.3701,5,124,4.006
0.15136,6.9925,0.16238,71,124,6.996
0.088116,4.0709,-1.3759,3,124,4.298
0.1511,6.9808,0.32562,72,124,6.99
0.09544,4.4092,-1.3762,6,124,4.62
0.15111,6.9813,0.4883,41,124,7
0.10451,4.8282,-1.3848,3,124,5.024
0.1513,6.99,0.65229,69,124,7.022
0.11363,5.2498,-1.3746,6,124,5.428
0.15166,7.0066,0.81956,82,124,7.056
0.12563,5.8039,-1.3755,2,124,5.966
0.15151,6.9996,0.98395,74,124,7.07
0.14017,6.4758,-1.3768,5,124,6.622
0.1514,6.9946,1.1494,80,124,7.09
0.15108,6.9795,-1.3153,75,124,7.104
0.15086,6.9697,1.3135,63,124,7.094
0.056319,2.3044,-1.367,3,140,2.68
