"Points:0","Points:1","Points:2","intensity","laser_id","azimuth","distance_m","timestamp"
0.0052341,2.3068,-1.3681,5.0,0.0,13.0,2.682,254259732.0
0.014763,6.5068,-1.069,1.0,1.0,13.0,6.594,254259732.0
0.0054911,2.4201,-1.3598,3.0,2.0,13.0,2.776,254259732.0
0.015966,7.0368,-0.98896,81.0,3.0,13.0,7.106,254259732.0
0.0057776,2.5464,-1.354,3.0,4.0,13.0,2.884,254259732.0
0.015987,7.046,-0.82397,55.0,5.0,13.0,7.094,254259732.0
0.0061353,2.704,-1.3582,4.0,6.0,13.0,3.026,254259732.0
0.015986,7.0454,-0.6573,72.0,7.0,13.0,7.076,254259732.0
0.0065379,2.8815,-1.3639,3.0,8.0,13.0,3.188,254259732.0
0.015971,7.0388,-0.4922,69.0,9.0,13.0,7.056,254259732.0
0.0069811,3.0768,-1.3699,5.0,10.0,13.0,3.368,254259732.0
0.015956,7.0323,-0.32795,86.0,11.0,13.0,7.04,254259732.0
0.0074826,3.2979,-1.3775,7.0,12.0,13.0,3.574,254259732.0
0.015973,7.0401,-0.16345,102.0,13.0,13.0,7.042,254259732.0
0.0079721,3.5136,-1.372,3.0,14.0,13.0,3.772,254259732.0
0.01596,7.034,0.0,56.0,15.0,13.0,7.034,254259732.0
0.0085625,3.7738,-1.3736,6.0,16.0,13.0,4.016,254259732.0
0.016001,7.0521,0.16373,75.0,17.0,13.0,7.054,254259732.0
0.0092516,4.0775,-1.3778,4.0,18.0,13.0,4.304,254259732.0
0.015969,7.0383,0.32823,76.0,19.0,13.0,7.046,254259732.0
0.0099849,4.4007,-1.3732,5.0,20.0,13.0,4.61,254259732.0
0.015975,7.0408,0.49234,48.0,21.0,13.0,7.058,254259732.0
0.010949,4.8255,-1.3837,3.0,22.0,13.0,5.02,254259732.0
0.015981,7.0434,0.65712,75.0,23.0,13.0,7.074,254259732.0
0.011945,5.2646,-1.3782,7.0,24.0,13.0,5.442,254259732.0
0.016027,7.0638,0.82606,82.0,25.0,13.0,7.112,254259732.0
0.013128,5.7858,-1.3709,2.0,26.0,13.0,5.946,254259732.0
0.015993,7.0487,0.99063,78.0,27.0,13.0,7.118,254259732.0
0.014692,6.4753,-1.3764,7.0,28.0,13.0,6.62,254259732.0
0.01599,7.0475,1.1579,80.0,29.0,13.0,7.142,254259732.0
0.015991,7.048,-1.3279,74.0,30.0,13.0,7.172,254259732.0
0.015982,7.044,1.3272,75.0,31.0,13.0,7.168,254259732.0
0.012444,2.2999,-1.364,6.0,0.0,31.0,2.674,254259732.0
0.035119,6.4909,-1.0664,1.0,1.0,31.0,6.578,254259732.0
0.013113,2.4236,-1.3618,3.0,2.0,31.0,2.78,254259732.0
0.038051,7.0328,-0.98841,80.0,3.0,31.0,7.102,254259732.0
0.013806,2.5517,-1.3568,3.0,4.0,31.0,2.89,254259732.0
0.038112,7.0439,-0.82374,51.0,5.0,31.0,7.092,254259732.0
0.01463,2.704,-1.3582,4.0,6.0,31.0,3.026,254259732.0
0.038065,7.0353,-0.65637,68.0,7.0,31.0,7.066,254259732.0
0.015629,2.8887,-1.3673,3.0,8.0,31.0,3.196,254259732.0
0.038062,7.0347,-0.49192,56.0,9.0,31.0,7.052,254259732.0
0.016657,3.0786,-1.3707,5.0,10.0,31.0,3.37,254259732.0
0.037994,7.0223,-0.32748,82.0,11.0,31.0,7.03,254259732.0
0.017823,3.2941,-1.376,7.0,12.0,31.0,3.57,254259732.0
0.038058,7.034,-0.16331,101.0,13.0,31.0,7.036,254259732.0
0.019021,3.5154,-1.3728,3.0,14.0,31.0,3.774,254259732.0
0.038036,7.0299,0.0,56.0,15.0,31.0,7.03,254259732.0
0.020438,3.7775,-1.3749,6.0,16.0,31.0,4.02,254259732.0
0.038112,7.044,0.16354,76.0,17.0,31.0,7.046,254259732.0
0.022072,4.0793,-1.3784,4.0,18.0,31.0,4.306,254259732.0
0.038059,7.0343,0.32804,72.0,19.0,31.0,7.042,254259732.0
0.02382,4.4026,-1.3738,5.0,20.0,31.0,4.612,254259732.0
0.038008,7.0247,0.49123,45.0,21.0,31.0,7.042,254259732.0
0.026109,4.8255,-1.3837,3.0,22.0,31.0,5.02,254259732.0
0.038087,7.0393,0.65675,75.0,23.0,31.0,7.07,254259732.0
0.028474,5.2626,-1.3777,7.0,24.0,31.0,5.44,254259732.0
0.038165,7.0538,0.8249,77.0,25.0,31.0,7.102,254259732.0
0.031409,5.8052,-1.3755,2.0,26.0,31.0,5.966,254259732.0
0.038116,7.0447,0.99008,82.0,27.0,31.0,7.114,254259732.0
0.035014,6.4713,-1.3755,6.0,28.0,31.0,6.616,254259732.0
0.038088,7.0395,1.1566,80.0,29.0,31.0,7.134,254259732.0
0.038059,7.0341,-1.3253,74.0,30.0,31.0,7.158,254259732.0
0.038059,7.0341,1.3253,69.0,31.0,31.0,7.158,254259732.0
0.018852,2.2982,-1.363,5.0,0.0,47.0,2.672,254259732.0
0.053148,6.4789,-1.0645,1.0,1.0,47.0,6.566,254259732.0
0.01991,2.427,-1.3637,3.0,2.0,47.0,2.784,254259732.0
